ID,User Story,Story Points,Risk Level,Half-way Checkpoint
US-01.01.01,"As an entrant, I want to join the waiting list for a specific event",3,Low,Yes
US-01.01.02,"As an entrant, I want to unjoin a waiting list for a specific event",2,Low,Yes
US-01.02.01,"As an entrant, I want to provide my personal information such as name, email and optional phone number in the app",3,Low,Yes
US-01.02.02,"As an entrant I want to update information such as name, email and contact information on my profile",2,Low,Yes
US-01.03.01,As an entrant I want to upload a profile picture for a more personalized experience,3,Medium,No
US-01.03.02,As an entrant I want remove profile picture if need be,2,Low,No
US-01.03.03,As an entrant I want my profile picture to be deterministically generated from my profile name if I haven't uploaded a profile image yet,5,Medium,No
US-01.04.01,"As an entrant I want to receive notification when chosen from the waiting list (when I ""win"" the lottery)",5,Medium,Yes
US-01.04.02,"As an entrant I want to receive notification of not chosen on the app (when I ""lose"" the lottery)",3,Low,Yes
US-01.04.03,As an entrant I want to opt out of receiving notifications from organizers and admin,2,Low,No
US-01.05.01,As an entrant I want another chance to be chosen from the waiting list if a selected user declines an invitation to sign up,5,Medium,No
US-01.05.02,As an entrant I want to be able to accept the invitation to register/sign up when chosen to participate in an event,3,Low,Yes
US-01.05.03,As an entrant I want to be able to decline an invitation when chosen to participate in an event,3,Low,Yes
US-01.06.01,As an entrant I want to view event details within the app by scanning the promotional QR code,8,High,No
US-01.06.02,As an entrant I want to be able to be sign up for an event by scanning the QR code,8,High,No
US-01.07.01,"As an entrant, I want to be identified by my device, so that I don't have to use a username and password",5,Medium,No
US-02.01.01,As a an organizer I want to create a new event and generate a unique promotional QR code that links to the event description and event poster in the app,13,High,No
US-02.01.04,As an organizer I want to store hash data of the generated QR code in my database,5,Medium,No
US-02.02.01,As an organizer I want to view the list of entrants who joined my event waiting list,3,Low,Yes
US-02.02.02,As an organizer I want to see on a map where entrants joined my event waiting list from,8,High,No
US-02.03.01,As an organizer I want to OPTIONALLY limit the number of entrants who can join my waiting list,3,Low,Yes
US-02.04.01,As an organizer I want to upload an event poster to provide visual information to entrants,5,Medium,Yes
US-02.04.02,As an organizer I want to update an event poster to provide visual information to entrants,3,Low,No
US-02.05.01,As an organizer I want to send a notification to chosen entrants to sign up for events,5,Medium,Yes
US-02.05.02,As an organizer I want to set the system to sample a specified number of attendees to register for the event,8,High,Yes
US-02.05.03,As an organizer I want to be able to draw a replacement applicant from the pooling system when a previously selected applicant cancels or rejects the invitation,8,High,No
US-02.06.03,As an organizer I want to view a list of all chosen entrants who are invited to apply,3,Low,Yes
US-02.06.03,As an organizer I want to see a list of all the canceled entrants,3,Low,No
US-02.06.04,As an organizer I want to see a final list of entrants who enrolled for the event,3,Low,Yes
US-02.06.05,As an organizer I want to cancel entrants that declined signing up for the event,5,Medium,No
US-02.07.01,As an organizer I want to send notifications to all entrants on the waiting list,5,Medium,No
US-02.07.02,As an organizer I want to send notifications to all selected entrants,3,Low,Yes
US-02.07.03,As an organizer I want to send a notification to all canceled entrants,3,Low,No
US-03.01.01,"As an administrator, I want to be able to remove events",3,Low,Yes
US-03.02.01,"As an administrator, I want to be able to remove profiles",3,Low,Yes
US-03.03.01,"As an administrator, I want to be able to remove images",3,Low,No
US-03.03.02,"As an administrator, I want to be able to remove hashed QR code data",5,Medium,No
US-03.04.01,"As an administrator, I want to be able to browse events",3,Low,Yes
US-03.05.01,"As an administrator, I want to be able to browse profiles",3,Low,Yes
US-03.06.01,"As an administrator, I want to be able to browse images",3,Low,No
US-03.07.01,As an administrator I want to remove facilities that violate app policy,5,Medium,No